IDDIST;PROVINCIA;DISTRITO;antiguedad;nro_banios;nro_pisos;nro_cocheras;nro_dormitorios;estado_de_inmueble;precio_soles;latitud;longitud;area_constr_m2;area_total_m2
150130;Lima;SanBorja;3;4;2;2;4;Bueno;700000;-12.1052126;-77.0018321;250;400
150114;Lima;LaMolina;3;2;2;4;3;A Remodelar;1300000;-12.1381119;-77.0018455;700;1022
150122;Lima;Miraflores;5;4;2;3;4;Bueno;579500;-12.12961453;-77.00184943;364;329
150108;Lima;Chorrillos;3;3;1;5;3;A Remodelar;790000;-12.2008678;-77.0019247;215;1132
150130;Lima;SanBorja;2;4;3;1;5+;Muy bueno;297000;-12.0868049;-77.0020558;193;90
150132;Lima;SanJuanDeLurigancho;3;5;1;0;2;Bueno;220000;-12.00015455;-77.00209476;156;186
150108;Lima;Chorrillos;3;4;2;5;4;Bueno;990000;-12.20117417;-77.00211471;406;2516
150130;Lima;SanBorja;3;4;2;2;4;;660000;-12.101867;-77.002135;400;358
150132;Lima;SanJuanDeLurigancho;1;2;3;1;3;Bueno;210000;-12.025158;-77.0021944;223;153
150111;Lima;ElAgustino;3;4;3;2;5+;Bueno;239000;-12.03088739;-77.00223709;509;509
150130;Lima;SanBorja;3;3;3;2;5+;Excelente;630000;-12.1020193;-77.0022924;321;300
150130;Lima;SanBorja;1;4;3;3;5+;Excelente;570000;-12.0996869;-77.0022967;640;300
150108;Lima;Chorrillos;1;3;2;4;3;Muy bueno;720000;-12.2144057;-77.0023107;265;574
150108;Lima;Chorrillos;4;5;1;4;4;Remodelado;1050000;-12.21435856;-77.00232633;438;1500
150130;Lima;SanBorja;4;3;3;2;5+;Bueno;1080000;-12.0978591;-77.0023772;326;360
150130;Lima;SanBorja;3;5;2;2;5+;Bueno;680000;-12.10040315;-77.00244466;303;303
150141;Lima;Surquillo;1;4;3;2;4;Excelente;500000;-12.11335098;-77.00246295;220;188
150130;Lima;SanBorja;2;4;3;3;5+;Excelente;620000;-12.0952115;-77.0024702;480;300
150140;Lima;SantiagoDeSurco;2;4;3;2;5+;Bueno;376000;-12.14241917;-77.00247526;242;120
150130;Lima;SanBorja;4;2;2;0;4;;650000;-12.0961663;-77.0024959;187;106
150140;Lima;SantiagoDeSurco;4;5;4;2;4;Remodelado;530000;-12.1364005;-77.0025461;380;250
150132;Lima;SanJuanDeLurigancho;3;2;2;0;4;Muy bueno;179000;-11.9885661;-77.0026455;220;220
150140;Lima;SantiagoDeSurco;2;4;3;2;5+;Remodelado;425000;-12.1388783;-77.0026657;260;260
150108;Lima;Chorrillos;5;5;2;0;5+;Bueno;410000;-12.1800722;-77.0027436;100;382
150108;Lima;Chorrillos;3;4;2;4;4;;645000;-12.2170217;-77.002967;335;832
150130;Lima;SanBorja;3;5;2;4;4;Remodelado;3200000;-12.0898988;-77.0030165;400;1334
150118;Lima;Lurigancho;3;5;2;2;5+;Bueno;150000;-12.0113729;-77.0031277;200;200
150140;Lima;SantiagoDeSurco;3;3;2;3;4;Muy bueno;780000;-12.13348068;-77.00316099;300;391
150131;Lima;SanIsidro;3;4;3;2;4;Regular;720000;-12.1254799;-77.0031719;370;360
150140;Lima;SantiagoDeSurco;3;4;3;2;4;Bueno;590000;-12.1361122;-77.00322;300;300
150122;Lima;Miraflores;4;3;3;4;4;Muy bueno;890000;-12.1279466;-77.0033209;373;405
150132;Lima;SanJuanDeLurigancho;3;5;1;1;5+;Bueno;108000;-12.0114829;-77.0033491;159;63
150122;Lima;Miraflores;4;4;2;2;4;Muy bueno;590000;-12.1290741;-77.0035151;274;318
150130;Lima;SanBorja;3;3;3;4;5+;;890000;-12.0909294;-77.0035415;519;360
150132;Lima;SanJuanDeLurigancho;3;3;4;0;5+;Remodelado;175000;-12.0155575;-77.0036624;252;252
150140;Lima;SantiagoDeSurco;3;3;2;1;5+;Muy bueno;580000;-12.135679;-77.0036665;320;397
150140;Lima;SantiagoDeSurco;3;5;3;2;5+;Bueno;430000;-12.135679;-77.0036665;253;225
150130;Lima;SanBorja;3;4;3;2;4;Muy bueno;399999;-12.09796721;-77.00377747;300;300
150108;Lima;Chorrillos;3;3;3;1;3;Muy bueno;290000;-12.17273445;-77.00379824;326;180
150130;Lima;SanBorja;3;5;3;2;5+;Bueno;940000;-12.08931495;-77.00383086;500;300
150130;Lima;SanBorja;3;3;2;3;4;Excelente;620000;-12.0982529;-77.0038317;196;305
150122;Lima;Miraflores;3;3;2;2;4;A Remodelar;780000;-12.1262192;-77.0038325;383;383
150140;Lima;SantiagoDeSurco;3;3;2;3;4;Bueno;550000;-12.1305958;-77.00384232;240;324
150108;Lima;Chorrillos;9;3;3;1;5+;Bueno;289000;-12.2079488;-77.0040861;156;156
150130;Lima;SanBorja;3;3;2;2;4;;540000;-12.10215479;-77.00413698;280;300
150130;Lima;SanBorja;3;5;3;2;5+;Muy bueno;568000;-12.0975442;-77.0041497;328;301
150115;Lima;LaVictoria;5;2;2;0;3;Regular;420000;-12.0651647;-77.00419439;130;293
150114;Lima;LaMolina;3;2;2;1;3;;265000;-12.0884123;-77.0042568;118;148
150130;Lima;SanBorja;3;5;3;2;5+;Bueno;534900;-12.09701927;-77.00426781;500;400
150108;Lima;Chorrillos;3;4;2;4;3;Remodelado;1200000;-12.212625;-77.0043057;340;1119
150108;Lima;Chorrillos;1;5;1;4;4;;1150000;-12.212625;-77.0043057;457;1000
150108;Lima;Chorrillos;1;5;1;3;3;Remodelado;800000;-12.212625;-77.0043057;277;1152
150108;Lima;Chorrillos;2;3;2;4;5+;Regular;700000;-12.212625;-77.0043057;474;1000
150108;Lima;Chorrillos;1;3;2;0;3;Bueno;535000;-12.212625;-77.0043057;297;500
150130;Lima;SanBorja;1;5;4;5;5+;Excelente;855000;-12.1002938;-77.0043446;574;398
150141;Lima;Surquillo;4;2;2;2;4;A Remodelar;590000;-12.11855627;-77.00438091;250;351
150130;Lima;SanBorja;4;3;2;0;4;Bueno;600000;-12.10549894;-77.00446414;200;310
150122;Lima;Miraflores;1;4;3;2;5+;;1150000;-12.1282369;-77.004586;525;425
150130;Lima;SanBorja;3;5;3;1;5+;Muy bueno;290000;-12.08754353;-77.00463896;184;184
150140;Lima;SantiagoDeSurco;3;4;3;2;5+;;465000;-12.1337046;-77.0046437;356;356
150108;Lima;Chorrillos;1;4;2;2;4;;850000;-12.2119387;-77.00465353;300;1000
150132;Lima;SanJuanDeLurigancho;3;5;3;1;5+;Muy bueno;210000;-11.9854284;-77.0047172;168;168
150122;Lima;Miraflores;4;4;2;2;5+;Bueno;465000;-12.1240735;-77.0047242;184;216
150110;Lima;Comas;2;2;2;1;4;Muy bueno;165000;-11.9740014;-77.0047687;90;120
150130;Lima;SanBorja;3;5;3;2;5+;;568000;-12.0974184;-77.0047798;325;325
150130;Lima;SanBorja;3;2;3;1;3;Muy bueno;285000;-12.0856878;-77.0048248;135;150
150140;Lima;SantiagoDeSurco;3;5;2;2;5+;Bueno;300000;-12.14257;-77.0048301;320;150
150130;Lima;SanBorja;2;4;3;1;5+;Muy bueno;289900;-12.0872046;-77.0048307;192;90
150108;Lima;Chorrillos;3;4;2;4;4;Regular;1600000;-12.21298379;-77.00484753;500;2000
